epoch,iter,train_g,train_d,train_vgg,train_psnr,train_ssim,val_g,val_d,val_vgg,val_psnr,val_ssim,val_lpips,lr
0,11506,1.1211835979565774,0.23707661389044576,1.0968066293913945,25.202537571267005,0.7024948308877317,2.8098235222586414,0.4945252294978893,1.0514623923877335,25.43209704699756,0.6817637363265705,0.12390599972926654,0.0001
1,23012,1.1080354858424877,0.20148318054115621,1.0807724420182625,24.960910471215488,0.6935875082708081,2.236587458649189,1.1771322613430453,1.0465283873161775,25.324292187586845,0.6860372031818978,0.12482091349998067,0.0001
2,34518,1.1027157618422188,0.18360288022103097,1.0747592461828188,24.896597612925703,0.6912161092301897,6.154838474777976,0.1258879583055653,1.047585396925149,25.523440068008743,0.6830703169504978,0.12085328397385382,0.0001
3,46024,1.100868162742267,0.16498327065341598,1.0706755912046981,24.87846315945208,0.6892654424840505,8.974024668382294,0.02746052820717509,1.0506785072157678,25.572839541878366,0.68039630549571,0.12336347421582353,0.0001
4,57530,1.0871111971594738,0.10760153348002441,1.0465065995734733,25.008302600574808,0.6931293996731841,0.05187224944912862,8.8696773065997,0.9993643686340988,25.70714589530704,0.6887606093490214,0.11348044996184209,5e-05
5,69036,1.0733781607538933,0.07490777740731548,1.0250466111306002,25.147413761205886,0.6981466329659294,0.057738902188553494,9.261175900922982,0.9925210255683926,25.689006018394785,0.6896662016930502,0.11063214757704587,5e-05
6,80542,1.0703056916379523,0.06772894999040924,1.01936531793692,25.16309880737883,0.6992155722477281,1.3965807776846797,1.4377982878834739,0.9868218830926199,26.06135920621703,0.700044384627885,0.11190307822795696,5e-05
7,92048,1.0708808660683333,0.062229216490462876,1.0147735994162195,25.190221379699654,0.7001749547993269,0.17632668799696607,5.121919687825767,0.985076445455072,25.722259007543393,0.6910314629704966,0.11027006663650393,5e-05
8,103554,1.065941334423471,0.05434379559296238,1.0065721601076838,25.20969713341355,0.7009252573994995,13.080841287712142,0.005133226995881052,0.9599830205438401,25.923870202009812,0.6967601442387391,0.10538308559960395,2.5e-05
9,115060,1.0546600361886116,0.038315519162774044,0.9857685258289887,25.276609367895766,0.703491676367616,10.725221147546243,0.011436734110010947,0.9526087462557533,25.96224553577632,0.6972353459000853,0.10712380396188127,2.5e-05
10,126566,1.050965168632343,0.0390204629306278,0.9799648326064491,25.269088807943984,0.7034684064418114,5.100672974119111,0.27549826616165424,0.9494953292006649,26.044711625644926,0.700034870855964,0.1050007032067339,2.5e-05
11,138072,1.0528342743065384,0.030298496667918673,0.9759108995056849,25.285354441028254,0.7037690666557788,0.3835456527927525,5.477895867617833,0.9466801199874861,25.904422017933264,0.6948274752400938,0.10611214341323287,2.5e-05
12,149578,1.0470818331111893,0.021167887619723564,0.9709295027156135,25.298925918971644,0.7048194243009456,2.609242000586029,1.2531939256238958,0.9379457762608161,26.16471660608925,0.7051859075172894,0.10450685857772403,2.5e-05
13,161084,1.0580214568475796,0.007418732792625452,0.9623124684258458,25.253745607183475,0.705702226254788,1.1369025445350367,4.378687939037213,0.9390415864130718,25.850655758842038,0.6950678087939893,0.10629502396654585,2.5e-05
14,172590,1.0659099092706066,0.01422288692883784,0.9626804655082699,25.199404139778167,0.7035844311255404,4.418293039325022,0.925787894223374,0.9329364260947667,26.019771035696042,0.6983212896218136,0.10421878493338387,2.5e-05
15,184096,1.0645054940107739,0.015619856290941366,0.9581509621873143,25.26512377609818,0.704772070291124,12.188524964969918,0.044690653487953834,0.9304217798755454,25.899870268235265,0.6984887374618839,0.10260648940134547,2.5e-05
16,195602,1.0621632561670393,0.014859775987701171,0.954837720057,25.275216885862942,0.704245688069619,0.5684609588719421,3.758920132000746,0.9273911580450008,26.022761908463767,0.7047575678015455,0.10416817909090877,2.5e-05
17,207108,1.0622365446364632,0.012783124677106648,0.9435924165055749,25.289884585329663,0.7047668495697083,6.950793752553962,0.5199102800564733,0.9064873748750037,25.95366740618986,0.7017194718957318,0.10190221869869993,1.25e-05
18,218614,1.0643334740424144,0.009708964719246892,0.9306184313938801,25.29801886429398,0.7051223474348315,3.4207676932167073,1.78017605200125,0.9063811440661834,25.940298410350348,0.6987357611071009,0.10207249130266886,1.25e-05
19,230120,1.0620246888781846,0.007065851876969852,0.9292192957763068,25.248335545402433,0.704984790316752,7.658921519311346,0.508149372282069,0.8966914377990645,26.026616771150135,0.7047131524689201,0.1022325549117323,1.25e-05
20,241626,1.0541194726721257,0.005700340020162108,0.922028520558785,25.151474848925787,0.7063549863873576,0.5564502112508994,4.7324398751720524,0.8956871693825499,25.46517731550801,0.7001987474263642,0.10380250556173326,1.25e-05
21,253132,1.0413991265684008,0.00490020724933709,0.9200195548753209,25.044334006313655,0.7044351755505579,2.317304764592485,2.6148414018619004,0.8944721969300877,25.66397022554322,0.7003481103982752,0.10285819727693891,1.25e-05
22,264638,1.03570496112849,0.006720006784277663,0.9199347490386177,25.11170303637145,0.7046270531953656,4.729882335074098,0.6886075244079356,0.8918738297988914,25.919137957256176,0.7036123881940579,0.1012294184749473,1.25e-05
23,276144,1.0303253843932283,0.00769746500182948,0.9175707166472166,25.198964066408458,0.7051147285511489,1.4708438451982753,2.2962774854781176,0.8929842729974503,25.92226535429049,0.7001937914750691,0.10099975561674249,1.25e-05
24,287650,1.034657623287949,0.006487679325255875,0.9133716522559443,25.226292771462585,0.7050900101951779,4.517622758025418,0.8725892089360313,0.889185040619385,25.88740209729579,0.6978147850202528,0.1002053440514937,1.25e-05
25,299156,1.031938891591724,0.006558433911799786,0.9096142542469964,25.239876250318915,0.7047825892831934,4.01946984924425,2.156773975509082,0.8841577144053948,25.929889236253437,0.698356586874936,0.1005343655468014,1.25e-05
26,310662,1.0321641806704096,0.005591325494828163,0.8970078004819713,25.227252810846384,0.7048527365059888,4.8703990202179925,0.7915443272514971,0.8717008992771192,25.940144676693603,0.6980296397683566,0.09986312379468383,6.25e-06
27,322168,1.0250776252103395,0.006148367982710261,0.8937673688287137,25.24961050949614,0.7044911131990613,0.2742502885438359,7.235294467186917,0.8730855524645958,26.02647010290978,0.7038063858550831,0.10001538336946202,6.25e-06
28,333674,1.022749037840419,0.005376145256903846,0.8904631694575796,25.23992724827263,0.7042253136002828,3.0529693618484615,1.146316120550931,0.8668665115755895,25.949070489899537,0.6995036090716302,0.10035090861703726,6.25e-06
29,345180,1.0227919058677073,0.004497490059284163,0.8870745876157426,25.229760975956232,0.7040945460604477,12.911499117464908,0.19799136699219977,0.8667626056924509,25.924030873021746,0.6973073721170532,0.09977281840394714,6.25e-06
